acetylation and deacetylation of rela in nucleus,CREBBP EP300 HDAC3 NFKBIA RELA
calcium signaling by hbx of hepatitis b virus,CAMK2B CREB1 CSNK2A1 FOS GRB2 HRAS JUN LAMTOR5 MAP2K1 MAPK3 PTK2B RAF1 SHC1 SOS1 SRC
cardiac protection against ros,GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GPX1 PRKCE SOD1 SOD2 SOD3
carm1 and regulation of the estrogen receptor,CARM1 CREBBP EP300 ESR1 GRIP1 GTF2A1 GTF2E1 GTF2F1 GTF3A MEF2C NR3C1 POLR2A
caspase cascade in apoptosis,APAF1 ARHGDIB BIRC2 BIRC3 CASP1 CASP10 CASP2 CASP3 CASP4 CASP6 CASP7 CASP8 CASP9 DFFA DFFB GZMB LMNA LMNB1 LMNB2 PARP1 PRF1 SREBF1 XIAP
cbl mediated ligand-induced downregulation of egf receptors pathway,CBL EGF EGFR GRB2 PRKCA PRKCB SH3KBP1 SRC
ccr3 signaling in eosinophils,CCL11 CCR3 CFL1 DECR1 GNAQ GNAS GNB1 GNGT1 HRAS LIMK1 MAP2K1 MAPK1 MAPK3 MYL2 PIK3C2G PLCB1 PPP1R12B PRKCA PRKCB PTK2 RAF1 RHOA ROCK2
cd40l signaling pathway,CD40 CD40LG MAP3K1 MAP4K4 NFKBIA RELA TNFAIP3 TRAF3 TRAF6
cdc25 and chk1 regulatory pathway in response to dna damage,ATM CDK1 CHEK1 MYT1 RASGRF1 WEE1 YWHAH
cdk regulation of dna replication,CCNE1 CDC6 CDK2 CDKN1B CDT1 KITLG MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 ORC1 ORC2 ORC3 ORC4 ORC5 ORC6
cell cycle: g1/s check point,ABL1 ATM ATR CCNA1 CCND1 CCNE1 CDC25A CDK1 CDK2 CDK4 CDK6 CDKN1A CDKN1B CDKN2A CDKN2B DHFR E2F1 GSK3B HDAC1 RB1 SKP2 SMAD3 SMAD4 TFDP1 TGFB1 TP53
cell cycle: g2/m checkpoint,ATM ATR BRCA1 CCNB1 CDC34 CDK1 CDKN1A CDKN2D CHEK1 CHEK2 EP300 GADD45A MDM2 MYT1 PI4KA PRKDC RASGRF1 RPS6KA1 SFN TP53 WEE1 YWHAH
cell to cell adhesion signaling,ACTA1 BCAR1 CDH1 CSK CTNNA1 CTNNB1 PECAM1 PTK2 PTPN11 PXN SRC VCL
ceramide signaling pathway,AIFM1 BAD BAG4 BAX BCL2 BIRC3 CASP8 CHUK CRADD CYCS FADD IKBKB IKBKG KSR1 MADD MAP2K1 MAP2K2 MAP2K4 MAP3K1 MAP4K4 MAPK1 MAPK3 MAPK8 NFKBIA NSMAF RAF1 RELA RIPK1 SMPD1 TNF TNFRSF1A TRADD TRAF2
chaperones modulate interferon signaling pathway,CHUK CNTN2 DNAJA3 FRA16A HSPA1A IFNG IFNGR1 IKBKB IKBKG JAK2 LIN7A NFKBIA RB1 RELA TAX1BP3 TP53 USH1C WT1
chrebp regulation by carbohydrates and camp,ACSBG1 ACSM1 ADCY1 ADRA1B ADRB2 AGT AGTR2 CCL11 CCL4 CCR3 CCR5 CHRM1 CXCL12 CXCR4 EDN1 EDNRA EDNRB F2 FPR1 GNAS GNB1 GNGT1 HTR2C MLXIPL P2RY2 PKLR PPP2R5D PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKACB PRKACG PRKAG1 PRKAG2 PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTGER1
chromatin remodeling by hswi/snf atp-dependent complexes,ACTB ARID1A GTF2A1 GTF2B GTF2E1 GTF2F1 GTF3A NF1 NR3C1 POLR2A SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCE1
classical complement pathway,C1QA C1QB C1QC C1R C1S C2 C3 C4A C5 C6 C7 C8A C8B C8G C9
control of gene expression by vitamin d receptor,ACTL6A ARID1A BAZ1B CARM1 CHAF1A COPS2 CREBBP EP300 HDAC1 KAT2B MED1 NCOA1 NCOA2 NCOA3 NCOR1 PRMT1 RXRA SMARCA4 SMARCC1 SMARCC2 SMARCD1 SMARCE1 SNW1 SUPT16H TOP2B TSC2 VDR
control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk),AKT1 AVP CABIN1 CAMK2B CREBBP EP300 GRIP1 HDAC5 KAT2B MAPK14 MAPK7 MEF2A MEF2BNB-MEF2B MEF2C MEF2D MYOD1 NFATC1 PDPK1 PIK3CA PIK3R1 YWHAH
corticosteroids and cardioprotection,ADRB2 AGT AKT1 ANXA1 BDKRB2 CAMK2B CAV1 CCL11 CCL4 CORIN CXCL12 EDN1 F2 GNAS GNB1 GNGT1 HSP90AA1 KNG1 NOS3 NPPA NR3C1 PDPK1 PIK3CA PIK3R1 RELA
ctcf: first multivalent nuclear factor,BCR CD79A CD79B CDKN1B CDKN2A CTCF MDM2 MTOR MYC PIK3CA PIK3R1 PPP2R5D PTEN RPS6KB1 SMAD1 SMAD4 SMAD5 SMAD6 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2
cxcr4 signaling pathway,CXCL12 CXCR4 GNAI1 GNAQ GNB1 GNGT1 HRAS PIK3C2G PIK3CA PIK3R1 PLCG1
cyclin e destruction pathway,CCNE1 CDC34 CDK2 CUL1 E2F1 FBXW7 RB1 SKP1 TFDP1
cycling of ran in nucleocytoplasmic transport,NUP153 NUP210 NUP214 NUP62 RAN RANBP1 RANBP2 RANGAP1 RCC1
cyclins and cell cycle regulation,CCNA1 CCNB1 CCND1 CCND2 CCND3 CCNE1 CCNH CDC25A CDK1 CDK2 CDK4 CDK6 CDK7 CDKN1A CDKN1B CDKN2A CDKN2B CDKN2C CDKN2D E2F1 RB1 RBL1 TFDP1
cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway,ADCY1 ADRB2 AGT CCL11 CCL4 CFTR CXCL12 EDN1 EZR F2 GNAS GNB1 GNGT1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B SLC9A3R1
d4gdi signaling pathway,ARHGAP5 ARHGDIB CASP1 CASP3 JUN RHOA
degradation of the rar and rxr by the proteasome,RARA RXRA
deregulation of cdk5 in alzheimers disease,APP CAPN1 CDK5 CDK5R1 GSK3B MAPT PPP2R5D
dicer pathway,AGO2 DICER1
double stranded rna induced gene expression,CHUK DNAJC3 EIF2AK2 EIF2S1 EIF2S2 EIF2S3 IFNA1 IFNB1 IKBKB IKBKG MAP4K4 NFKBIA RELA TP53
downregulated of mta-3 in er-negative breast tumors,ALDOA CDH1 CTSD ESR1 GAPDH GREB1 HDAC1 HSPB1 MBD3 MTA3 PDZK1 SNAI1 SNAI2 SNAI3 TUBA1A TUBA1C TUBA3C TUBA4A TUBA4B TUBA8
e2f1 destruction pathway,CCNA1 CCNE1 CDC34 CDK2 CUL1 E2F1 RB1 SKP1 SKP2 TFDP1
effects of calcineurin in keratinocyte differentiation,CAMK2B CDKN1A GNAQ MARCKS NFATC1 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB SP1 SP3
egf signaling pathway,EGF EGFR ELK1 GRB2 HRAS JAK1 MAP2K1 MAP2K4 MAP3K1 MAPK8 PIK3CA PIK3R1 PLCG1 PRKCA PRKCB RASA1 SHC1 SOS1 STAT1 STAT3
eicosanoid metabolism,ALOX5 ALOX5AP COX2 CYP2J2 CYSLTR1 CYSLTR2 EPHX1 EPHX2 HPGDS MPO PLA2G1B PLCB1 PTGER1 PTGER2 PTGER3 PTGER4 PTGES PTGFR PTGIR PTGIS PTGS1 TBXA2R TBXAS1
endocytotic role of ndk phosphins and dynamin,AP2A1 AP2M1 BIN1 BIN2 CAMK2B DNM1 EPN1 EPS15 NME1 NME2 PICALM PPP3CA PPP3CB PPP3CC SYNJ1 SYNJ2
epo signaling pathway,EPO EPOR GRB2 HRAS JAK2 PLCG1 PTPN6 SHC1 SOS1 STAT5A STAT5B
er associated degradation (erad) pathway,CANX CUL1 EDEM1 FBXO2 GANAB MAN1A1 MAN1A2 MAN1B1 MAN1C1 MAN2A2 MAN2B1 MAN2C1 MOGS RBX1 SAE1 SEC61A1 SKP1 UBE2I UGGT1
erk and pi-3 kinase are necessary for collagen binding in corneal epithelia,ACTA1 ACTN1 ACTN2 ACTN3 ACTN4 ARHGAP5 BCAR1 CAPN1 CSK DIAPH1 GSN ITGA1 ITGB1 MAP2K1 MAPK1 MAPK3 MLC1 MYLK PFN1 PIK3CA PIK3R1 PLCG1 PTK2 PXN RHOA ROCK1 SRC TLN1 TNS1 VCL ZYX
erk1/erk2 mapk signaling pathway,ELK1 GRB2 HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 MKNK1 MKNK2 MYC NGF NGFR PPP2R5D PTPRR RAF1 RPS6KA1 RPS6KA5 SHC1 SOS1 SRC STAT3 TERT
erythropoietin mediated neuroprotection through nf-kb,ARNT CDKN1A COPS5 CREB1 EP300 EPO EPOR HIF1A JAK2 JUN NFKBIA RELA SOD2
estrogen responsive protein efp controls cell cycle and breast tumors growth,CCNB1 CCNB2 CDK1 CDK2 CDK3 CDK4 CDK5 CDK6 CDK7 CDK8 ESR1 SFN SMURF1 TP53 TRIM25
eukaryotic protein translation,EIF1AX EIF2S1 EIF2S2 EIF2S3 EIF3A EIF4A1 EIF4A2 EIF4E EIF4G1 EIF4G2 EIF4G3 EIF5 EIF5B EIF6
extrinsic prothrombin activation pathway,F10 F2 F2R F3 F5 F7 FGA FGB FGG PROC PROS1 TFPI ZFHX3
fas signaling pathway (cd95),CASP10 CASP3 CASP7 CASP8 CFLAR DAXX FADD FAF1 FAS FASLG MAP2K4 MAP3K1 MAP3K7 MAPK8 PAK1 PAK2 PRKDC PTPN13 RB1 RIPK2
fc epsilon receptor i signaling in mast cells,BTK ELK1 FCER1A FCER1G FOS GRB2 HRAS JUN LYN MAP2K1 MAP2K2 MAP2K4 MAP2K7 MAP3K1 MAPK1 MAPK3 MAPK8 MS4A2 PAK2 PIK3CA PIK3R1 PLA2G1B PLCG1 PRKCB RAF1 SHC1 SOS1 SYK VAV1
fibrinolysis pathway,CPB2 F13A1 F2 F2R FGA FGB FGG PLAT PLAU PLG SERPINB2 SERPINE1 UBA1 UBE2A ZFHX3
fmlp induced chemokine gene expression in hmc-1 cells,CAMK2B CAMKK1 CAMKK2 ELK1 FPR1 GNA15 GNB1 GNGT1 HRAS MAP2K1 MAP2K2 MAP2K3 MAP2K6 MAPK1 MAPK14 MAPK3 NCF2 NFATC1 NFKBIA PAK1 PIK3C2G PLCB1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB RAC1 RAF1 RELA
fosb gene expression and drug abuse,CDK5 FOSB GRIA2 JUND PPP1R1B
g-protein signaling through tubby proteins,AGT CCL11 CCL4 CXCL12 EDN1 F2 GNAQ GNB1 GNGT1 TUB
g-secretase mediated erbb4 signaling pathway,ADAM17 ERBB4 NRG2 NRG3 NRG4 PRKCA PRKCB PSEN1
gamma-aminobutyric acid receptor life cycle pathway,DNM1 GABARAP GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GPHN NSF SRC UBA1 UBE2A UBE3A UBQLN1
gata3 participate in activating the th2 cytokine genes expression,ADCY1 GATA3 GNAS IL13 IL1A IL4 IL5 JUNB MAF MAP2K3 MAP2K6 MAPK14 NFATC1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B
generation of amyloid b-peptide by ps1,ADAM10 APP BACE1 PSEN1
granzyme a mediated apoptosis pathway,ANP32A APEX1 CASP3 CREBBP DFFA DFFB GZMA GZMB HMGB2 NME1 PRF1 SET
growth hormone signaling pathway,CISH GH1 GHR GRB2 HNF1A INS INSR IRS1 JAK2 PIK3CA PIK3R1 PLCG1 PRKCA PRKCB PTPN6 RPS6KA1 SHC1 SLC2A14 SOS1 SRF STAT5A STAT5B
hemoglobins chaperone,AHSP ALAD ALAS1 ALAS2 CPOX FECH GATA1 HBA1 HBA2 HBB HMBS UROD UROS
hiv-1 defeats host-mediated resistance by cem15,APOBEC3G CD4 CXCR4 HCK
hiv-1 nef: negative effector of fas and tnf,APAF1 ARHGDIB BAG4 BCL2 BID BIRC2 BIRC3 CASP2 CASP3 CASP6 CASP7 CASP8 CASP9 CDK11B CFLAR CHUK CRADD CYCS DAXX DFFA DFFB FADD FAS FASLG GSN LMNA LMNB1 LMNB2 MAP2K7 MAP3K1 MAP3K14 MAP3K5 MAPK8 MDM2 NFKBIA NUMA1 PAK2 PARP1 PRKCD PRKDC PSEN1 PSEN2 PTK2 RASA1 RB1 RELA RIPK1 SPTAN1 TNF TNFRSF1A TRADD TRAF1 TRAF2
hop pathway in cardiac development,GATA4 HOPX NKX2-5 SRF
how does salmonella hijack a cell,ACTR2 ACTR3 ARPC1A ARPC1B ARPC2 ARPC3 ARPC4 CDC42 RAC1 WASF1 WASL
how progesterone initiates the oocyte maturation,ADCY1 CAP1 CCNB1 CDC25C CDK1 GNAI1 GNAS GNB1 GNGT1 HRAS MAPK1 MAPK3 MYT1 PAQR5 PGR PIN1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B SRC
human cytomegalovirus and map kinase pathways,AKT1 CREB1 MAP2K1 MAP2K2 MAP2K3 MAP2K6 MAP3K1 MAPK1 MAPK14 MAPK3 PDPK1 PIK3CA PIK3R1 RB1 RELA SP1
hypoxia and p53 in the cardiovascular system,ABCB1 AKT1 ATM BAX CDKN1A DNAJB1P1 EP300 FHL2 GADD45A HIC1 HIF1A HSP90AA1 HSPA1A IGFBP3 MAPK8 MDM2 NFKBIB RPA1 TAF1 TP53 UBE2A
hypoxia-inducible factor in the cardivascular system,ARNT ASPH COPS5 CREB1 EDN1 EP300 EPO HIF1A HSP90AA1 JUN LDHA NOS3 P4HB UBE2A VEGFA VHL
ifn alpha signaling pathway,IFNA1 IFNAR1 IFNAR2 IFNB1 JAK1 ST13 STAT1 STAT2 TYK2
ifn gamma signaling pathway,FRA16A IFNG IFNGR1 JAK1 JAK2 STAT1
igf-1 signaling pathway,CSNK2A1 ELK1 FOS GRB2 HRAS IGF1 IGF1R IRS1 JUN MAP2K1 MAPK3 MAPK8 PIK3CA PIK3R1 PTPN11 RAF1 RASA1 SHC1 SOS1 SRF
il 2 signaling pathway,GRB2 HRAS IL2 IL2RA IL2RB IL2RG JAK1 JAK3 LCK SHC1 SOS1 STAT5A STAT5B SYK
il 3 signaling pathway,CSF2RB FOS GRB2 HRAS IL3 IL3RA JAK2 PTPN6 SHC1 SOS1 STAT5A STAT5B
il 4 signaling pathway,AKT1 FCER2 GRB2 HLA-DRA HLA-DRB1 HMGA1 IGHE IL2RG IL4 IL4R JAK1 JAK3 RPS6KB1 SHC1 STAT6
il 6 signaling pathway,CEBPB GRB2 HRAS IL6 IL6R JAK1 JAK2 JAK3 LRPPRC PTPN11 SHC1 SOS1 STAT3
il-10 anti-inflammatory signaling pathway,BLVRA BLVRB HMOX1 IL10 IL10RA IL10RB IL1A IL6 JAK1 MAP2K6 MAP3K5 MAPK14 TNF
il-2 receptor beta chain in t cell activation,AKT1 BAD BCL2 BCL2L1 CBL CCNA1 CCNB1 CCND1 CCND2 CCND3 CCNE1 CCNH CRKL E2F1 FAS FASLG FOS GRB2 HRAS IKZF3 IL2 IL2RA IL2RB IL2RG IRS1 JAK1 JAK3 MAP2K1 MAP2K2 MAPK1 MAPK3 MYC NMI PCNA PDPK1 PIK3CA PIK3R1 PPIA PTPN6 RAF1 RB1 RPS6KB1 SHC1 SOCS1 SOCS3 SOS1 STAT5A STAT5B TFDP1
il-7 signal transduction,BCL2 CREBBP EP300 FYN IL2RG ITGA2B JAK1 JAK3 LCK NMI PIK3CA PIK3R1 PTK2B STAT5A STAT5B
il12 and stat4 dependent signaling pathway in th1 development,CCR5 ETV5 IFNG IL12A IL12B IL12RB1 IL12RB2 IL18R1 JAK2 JUN MAP2K6 MAPK14 MAPK8 STAT4 TYK2
il22 soluble receptor signaling pathway,IL10RA IL22 IL22RA1 IL22RA2 JAK1 SOCS3 STAT1 STAT3 STAT5A STAT5B TYK2
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages,AKT1 AXIN1 BTRC CCND1 CD14 CHUK CSNK2A1 CTNNB1 DKK1 DKK2 DVL1 EHHADH EIF2AK2 FRAT1 FZD1 GJA1 GSK3B IKBKB IKBKG IRAK1 KREMEN2 LEF1 LRP6 LY96 MYD88 NFKBIA NKD1 NKD2 PDPK1 PIK3CA PIK3R1 PPP2R5D PROC RELA TIRAP TLR4 TOLLIP WIF1 WNT1
induction of apoptosis through dr3 and dr4/5 death receptors,ACTA1 BID CASP10 CASP3 CASP6 CASP7 CASP8 DFFA DFFB FADD GAS2 LMNA MAP3K14 PARP1 RIPK1 SPTAN1 TNFRSF10A TNFRSF10B TNFRSF25 TNFSF10 TNFSF12 TRADD TRAF2
influence of ras and rho proteins on g1 to s transition,AKT1 CCND1 CCNE1 CDK2 CDK4 CDK6 CDKN1A CDKN1B CHUK E2F1 HRAS IKBKB IKBKG MAP2K1 MAP2K2 MAPK1 MAPK3 NFKBIA PAK1 PDPK1 PIK3CA PIK3R1 RAC1 RAF1 RB1 RELA RHOA TFDP1
inhibition of cellular proliferation by gleevec,AKT1 BCL2 BCR CRKL FOS GRB2 HRAS JAK2 JUN MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 MYC PIK3CA PIK3R1 RAF1 SOS1 STAT1 STAT5A STAT5B
inhibition of huntingtons disease neurodegeneration by histone deacetylase inhibitors,CREB1 CREBBP HDAC1 HTT
inhibition of matrix metalloproteinases,MMP14 MMP2 MMP9 RECK TIMP1 TIMP2 TIMP3 TIMP4
insulin signaling pathway,GRB2 HRAS INS INSR IRS1 PIK3CA PIK3R1 PTPN11 SHC1 SLC2A14 SOS1
integrin signaling pathway,ACTA1 ACTN1 ACTN2 ACTN3 ACTN4 BCAR1 BCR CAPN1 CAV1 CRKL CSK FYN GRB2 HRAS ITGA1 ITGB1 LRPAP1 MAPK8 MLC1 NOLC1 PPP1R12B PTK2 PXN RAPGEF1 RHOA ROCK1 SHC1 SOS1 SRC TLN1 TNS1 VCL ZYX
internal ribosome entry pathway,CASP1 CASP10 CASP2 CASP3 CASP4 CASP5 CASP6 CASP7 CASP8 CASP9 EIF3A EIF4A1 EIF4E EIF4G1 EIF4G2 EIF4G3 PTBP1 PTBP2
intrinsic prothrombin activation pathway,COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 F10 F11 F12 F2 F2R F5 F8 F9 FGA FGB FGG KLKB1 KNG1 PROC PROS1 SERPING1 ZFHX3
ion channels and their functional role in vascular endothelium,ADCY1 ADRA1B ADRB2 AGT AGTR2 AKT1 BDKRB2 CAMK2B CAV1 CCL11 CCL4 CCR3 CCR5 CHRM1 CXCL12 CXCR4 EDN1 EDNRA EDNRB F2 FPR1 GNAS GNB1 GNGT1 GUCY1A2 GUCY1A3 GUCY1B2 GUCY1B3 HSP90AA1 HTR2C KCNQ2 KCNQ3 KCNQ4 KCNQ5 KNG1 NOS3 P2RY2 PRKG1 PRKG2 PTGER1 TRPC3 TRPC4 TRPC5 TRPC6 TRPV4
ionomycin and phorbal ester signaling pathway,P2RY2 PLCG1 PRKCA PRKCB
keratinocyte differentiation,BCL2 BIRC2 BIRC3 CEBPA CHUK DAXX EGF EGFR ETS1 ETS2 FAS FASLG FOS GRB2 HOXA7 HRAS IKBKB IKBKG JUN MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K6 MAP2K7 MAP3K1 MAP3K5 MAP4K4 MAPK1 MAPK13 MAPK14 MAPK3 MAPK8 NFKBIA PLAT PPP2R5D PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCQ RAF1 RELA RIPK1 SHC1 SOS1 SP1 TNF TNFRSF1A TRAF1 TRAF2
lck and fyn tyrosine kinases in initiation of tcr activation,CD247 CD3D CD3E CD3G CD4 FYN HLA-DRA HLA-DRB1 LCK PTPRC TRA TRB ZAP70
lectin induced complement pathway,C2 C3 C4A C5 C6 C7 C8A C8B C8G C9 MASP1 MASP2 MBL2
links between pyk2 and map kinases,BCAR1 CAMK2B CRKL GNAQ GRB2 HRAS JUN MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP3K1 MAPK1 MAPK14 MAPK3 MAPK8 PAK1 PLCG1 PRKCA PRKCB PTK2B RAC1 RAF1 SHC1 SOS1 SRC
lissencephaly gene (lis1) in neuronal migration and development,ABL1 CDK5 CDK5R1 CLIP1 CSNK2A1 DCTN1 DCTN2 DCTN3 DCTN6 DCX DNAH1 DNAH3 DNAH5 DNAH6 DNAH8 DYNLL1 LRP8 NDEL1 PAFAH1B1 RELN
