sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample11,1.067,1.679,-0.825,1.129,-0.891,-0.998,0.246,0.238,-0.596,0.842,-1.469,-0.856,-1.078,0.758,0.804,0.667,-1.296,0.133,0.458,-1.617,-0.822,0.646,0.704,0.255,0.542,0.324,0.15,-0.109,-0.871,-0.246,-0.403,2.318,0.26,-0.011,-0.232,-0.115,-0.272,0.545,-0.029,0.811,-0.695,0.35,0.877,-1.154,0.168,0.247,-0.335,-0.487,-1.855,1.149,-0.933,-1.24,0.658,-1.832,0.963,0.434,0.598,-0.164,-1.217,-1.889,1.457,-0.472,-0.517,1.582,-0.631,-0.238,-0.237,-0.137,-1.039,-0.56,1.285,0.761,-2.977,-1.959,0.334
sample12,-0.113,-0.375,1.043,-1.784,1.2,0.132,0.548,0.253,0.846,-0.25,-0.542,0.782,0.175,-1.254,1.35,1.211,1.441,0.08,0.351,-0.382,-0.973,0.065,0.177,-0.663,1.83,-1.616,-0.815,-0.671,1.291,-0.257,-0.325,-0.885,-0.764,-1.305,1.016,0.609,0.99,-0.662,2.512,-0.981,-2.054,-0.292,0.137,0.756,-1.017,0.591,1.708,-0.852,-0.74,-1.703,0.241,0.857,0.767,0.834,1.416,0.127,0.953,-0.952,-0.791,0.241,-0.818,0.572,1.375,0.404,-0.737,-0.748,1.365,-0.798,0.089,-0.259,0.053,1.096,-0.539,-1.41,1.452
sample13,0.223,0.726,-0.019,0.778,1.265,1.366,-0.273,-0.352,0.395,0.207,0.566,-0.711,-2.325,0.45,0.781,0.643,1.659,0.852,-0.388,0.985,-0.085,1.255,0.238,0.454,0.228,0.055,-1.497,0.058,-2.273,0.498,0.992,2.051,0.374,-0.716,-1.59,1.948,-1.426,0.896,-2.306,-0.051,0.683,0.325,-0.042,-0.825,-0.907,1.009,0.436,-0.161,0.207,-0.927,1.022,1.261,-0.78,0.102,1.048,-0.642,2.035,1.511,-0.279,0.979,1.662,-1.244,0.619,-0.144,-0.217,0.71,-0.477,-1.4,-1.422,-0.02,0.629,-0.024,-0.153,-0.031,1.289
sample14,0.53,-0.746,-0.289,1.205,-0.58,-0.395,-0.025,-1.065,0.902,-2.189,1.451,-0.435,-1.257,0.282,-1.711,0.537,0.774,-0.576,-0.389,0.949,-0.671,0.023,0.348,1.56,-0.503,0.035,1.132,-2.557,-0.269,-1.91,-1.84,1.957,0.211,1.483,-0.241,0.54,-0.432,-0.547,-0.075,0.128,1.533,-0.197,0.38,-0.257,0.145,-1.311,1.091,-0.521,0.042,-0.214,0.985,0.522,0.013,0.175,0.343,0.757,0.507,1.285,1.618,0.614,-1.323,1.748,2.15,-0.364,-0.414,-2.059,0.779,-1.008,1.829,-2.477,0.072,0.674,-0.402,-0.795,0.249
sample15,-0.528,-0.343,-0.039,-0.557,-0.228,0.787,-0.391,0.166,-0.756,0.913,-1.287,0.956,-3.027,-0.911,-1.59,1.014,0.269,-1.312,-0.575,1.337,-0.067,0.551,-1.521,-1.519,0.555,2.289,-0.559,0.57,-0.967,1.228,-0.479,-0.46,-1.918,-0.442,0.158,1.349,-1.204,0.95,-0.375,-0.321,-0.982,-1.737,-1.251,1.587,-1.232,-0.478,1.061,-2.16,0.396,-0.562,0.135,0.813,-0.206,-0.25,0.673,0.584,-0.773,-0.241,-1.397,1.238,-1.264,0.133,1.693,0.754,-0.341,-0.778,-0.675,0.873,0.297,-0.046,2.567,-0.872,-0.526,-0.41,0.183
sample16,0.276,-0.305,0.705,0.507,-0.336,-2.489,0.753,-0.992,-0.7,-0.195,-1.292,-0.867,0.001,-0.418,0.239,-0.941,-0.318,-1.149,-0.375,0.197,-0.336,-1.523,-0.28,0.058,1.043,-0.129,-0.498,-1.257,1.905,-1.035,-1.213,-0.235,-1.907,0.99,0.1,0.407,-1.06,-0.588,0.779,0.827,2.76,1.025,-1.964,0.018,-0.431,1.028,-0.155,0.426,-0.381,0.548,1.402,-0.671,-2.095,-1.091,1.506,0.166,-0.351,-1.018,0.995,0.234,-0.166,-0.595,-0.209,-0.373,0.519,1.221,-2.012,-1.505,-0.15,0.027,-1.604,-0.674,-0.456,-0.497,-0.518
sample17,-0.14,0.83,0.686,0.539,0.221,-0.77,-0.538,0.639,0.061,0.746,0.212,0.008,0.388,-1.593,-0.213,-0.641,0.792,-0.725,0.179,-0.486,0.418,0.66,-0.269,0.044,0.114,0.712,-0.391,-0.025,-0.493,-1.028,0.107,0.356,-0.881,1.503,-0.821,0.673,0.301,-1.78,-0.101,-1.65,-0.183,0.599,1.771,0.708,-1.605,-0.429,1.425,0.103,1.69,-0.805,-0.637,-1.431,-0.464,1.178,-1.01,0.755,0.379,0.709,-0.34,-0.058,2.059,-1.331,0.68,1.442,0.38,1.576,-3.051,-0.389,-1.256,-0.504,-0.196,0.393,-0.946,0.784,-1.668
sample18,0.87,-0.347,-1.873,-1.878,-1.899,-1.102,0.009,1.212,0.677,-1.447,-2.418,-0.419,-1.547,-0.298,-0.811,2.448,-1.851,0.187,1.729,-0.543,-0.917,1.548,-2.26,-1.856,-1.37,0.26,0.635,-0.267,2.05,-0.343,-0.137,-0.441,1.104,-0.115,-0.519,1.574,1.183,0.901,-1.381,-1.182,-0.344,-0.359,-0.528,-0.317,0.563,-1.106,0.163,-0.481,-0.565,-0.362,0.67,0.211,-0.858,0.269,0.076,0.361,-0.316,0.957,0.342,-1.189,-1.326,-1.449,0.371,-0.723,-0.377,-0.094,1.214,2.178,-0.129,1.99,0.54,1.202,-0.289,-1.255,0.48
sample19,1.292,-1.574,-0.066,0.215,0.595,-1.096,-0.566,0.929,1.81,0.099,0.979,0.168,0.43,-0.392,-0.233,-0.581,0.096,1.105,0.187,0.655,-0.647,0.716,-3.174,-1.435,-0.343,-1.837,0.562,0.201,-0.927,0.088,-1.527,-0.918,-0.395,-1.623,1.043,-0.67,1.02,-0.154,0.306,-0.923,-0.315,-0.43,0.23,1.375,-0.57,-0.169,0.357,0.859,-0.115,-0.388,-0.589,0.005,0.24,-0.689,-0.31,0.759,-0.027,-0.576,0.709,0.713,0.613,0.668,-0.397,0.204,0.315,0.122,-1.759,-0.019,0.352,0.495,-0.298,0.033,-1.809,-1.497,-2.971
sample20,-0.229,1.626,1.753,-1.129,0.652,1.261,-0.304,-1.967,1.425,-0.357,-0.392,1.714,0.473,0.848,1.608,-0.143,-0.969,0.799,0.015,0.762,0.423,-0.738,0.055,-0.305,-0.203,-0.007,0.387,0.245,-1.237,0.672,-1.396,2.261,-0.722,-0.017,1.384,-0.156,-1.226,-1.388,0.327,0.457,0.875,0.317,-0.437,0.518,1.488,-0.757,3.625,-0.373,1.299,1.935,0.959,0.349,0.769,1.382,-2.6,0.504,-0.363,-0.653,0.159,0.219,0.533,-0.55,1.164,-2.063,-0.942,-1.195,0.125,-0.484,0.544,-0.776,1.298,0.751,-0.51,-1.692,-1.19
sample21,-1.552,1.242,0.758,-1.271,1.888,-0.296,-2.258,1.09,1.306,0.007,-0.898,1.238,-0.505,-0.017,0.472,0.307,-0.46,-1.043,0.755,-2.213,0.333,0.272,0.529,-0.367,0.223,0.797,-1.044,0.057,0.384,-1.259,-0.946,1.587,1.043,-0.742,0.727,0.413,1.411,1.148,-2.429,-0.295,1.384,1.643,-0.613,-1.23,0.262,-0.639,-0.012,-1.167,0.772,0.576,0.465,-1.096,-1.686,-1.276,0.501,-1.798,0.662,1.779,-0.625,-0.183,0.989,0.92,-0.614,-0.17,0.127,-0.26,0.585,0.337,1.315,-1.701,1.194,0.826,-0.124,0.427,0.987
sample22,0.311,-0.238,0.292,-0.687,-1.301,-0.865,-0.761,0.201,0.805,0.256,1.469,-0.076,-0.631,-0.713,-0.887,-0.29,1.391,-1.456,0.57,0.006,0.86,-0.445,0.753,-0.468,0.664,-1.922,0.529,0.782,-1.553,0.891,-1.092,1.035,0.044,0.737,0.425,-1.144,1.605,1.275,-0.961,0.628,0.526,-0.613,-0.974,1.351,-0.328,0.978,1.976,0.56,-0.811,1.06,-1.297,-0.831,3.007,-0.718,0.429,-0.98,-0.043,0.279,-2.571,-0.579,0.739,0.944,0.413,-0.872,0.469,-0.419,-0.7,0.071,2.349,-0.832,1.11,0.323,-1.417,-0.845,-0.103
sample23,-0.407,0.328,-0.927,-0.95,1.07,0.032,-0.787,0.063,1.899,-0.52,-1.428,0.997,2.025,1.319,-1.258,-2.006,1.315,-0.129,0.554,-0.14,1.725,0.116,-0.275,0.18,-1.163,0.199,-0.056,-2.086,-1.115,-1.231,-1.548,0.377,1.146,0.339,-1.47,-1.771,0.791,-0.302,-0.095,-1.295,-2.028,2.215,-0.61,-0.198,-1.152,1.521,-0.365,-0.173,0.03,-0.029,1.4,-1.84,0.608,-0.643,-0.432,-0.643,0.4,-1.311,-0.568,0.531,-0.603,-0.509,0.344,0.055,-0.369,0.019,-0.921,0.82,-1.129,-1.643,0.386,-1.356,-0.999,-0.261,0.661
sample24,-0.526,-0.492,-0.478,0.324,-0.564,0.183,1.3,-0.284,-0.432,-0.993,-0.821,-1.305,-1.164,-0.647,0.268,0.416,-0.5,0.25,-1.368,1.995,2.399,-0.189,0.433,0.028,0.707,-0.701,-1.587,0.736,-1.16,0.281,-0.991,-0.84,0.912,1.54,-0.224,-0.491,0.229,-0.615,-1.798,-0.09,-2.304,0.359,-0.573,0.12,-1.539,-0.819,0.496,1.291,0.766,0.313,-1.182,0.499,0.061,-0.388,1.228,-0.84,1.685,-0.718,-0.747,-0.17,-1.39,-0.541,0.006,-1.767,-0.902,-1.462,-0.512,1.064,-0.508,-0.262,0.15,-1.184,0.152,-0.594,-0.721
sample25,-1.785,-0.707,0.958,1.131,-0.37,-0.005,-0.496,-1.173,-1.871,1.631,-1.057,0.141,1.482,-0.448,-0.227,0.206,-0.413,0.197,-0.387,1.083,0.443,-1.225,-1.369,-0.679,-0.644,-0.771,0.896,-0.748,-0.482,0.117,-2.008,0.409,0.559,1.378,-0.998,-0.479,0.196,-0.388,-1.465,0.894,-0.292,0.34,-1.079,0.95,-0.353,-0.722,0.784,1.101,-0.935,0.991,1.616,0.261,-1.408,0.568,1.065,-1.016,1.672,-0.192,-0.115,1.099,0.214,1.253,-0.006,0.395,0.03,0.245,0.59,0.49,-0.295,0.943,-0.08,1.209,0.624,-0.081,-0.724
sample26,0.05,1.394,0.199,0.98,-0.077,-0.305,-0.688,-1.933,0.32,0.043,-0.045,0.784,-0.98,1.699,-1.459,0.253,-1.188,-0.271,1.157,-1.491,0.178,0.107,0.177,0.252,0.799,0.49,0.373,0.888,0.658,-0.133,-1.232,0.789,-0.35,1.638,-0.566,-1.212,1.125,-0.752,-1.504,1.168,-1.462,1.306,-0.964,0.397,0.212,-1.826,-0.027,-0.432,0.114,0.519,1.565,-0.25,-0.113,2.14,0.711,0.748,-1.543,-1.41,-0.566,-0.201,0.475,2.721,-1.266,-0.425,0.614,0.256,1.107,-0.304,-0.913,2.074,0.424,-1.213,-0.363,-0.081,-1.512
sample27,0.751,0.127,-0.392,-0.68,1.617,-0.11,-0.808,-2.082,-1.1,0.655,1.452,-1.204,-2.087,-0.009,-0.09,0.819,-0.755,0.064,-1.902,-1.281,-0.592,-0.49,0.486,1.177,-1.467,1.639,-0.793,-0.465,1.084,-2.443,-1.494,-0.869,0.041,1.043,1.06,-0.951,0.714,-0.455,1.454,-0.311,1.027,-1.06,0.745,-1.398,0.079,-1.649,-0.172,-0.816,-1.003,0.215,0.762,0.093,0.287,0.701,1.199,1.0,0.385,1.979,-0.527,0.782,-1.163,2.375,-0.267,0.138,1.363,-0.212,-0.864,-1.876,-0.294,2.023,0.145,1.71,0.804,-0.475,-1.443
sample28,-0.221,0.59,-0.25,0.141,0.546,-0.398,-1.49,-0.369,0.529,-0.87,-1.106,-1.053,-0.287,-0.178,-0.112,-1.329,-0.029,-0.69,-1.008,-1.916,-1.179,-0.682,0.074,0.34,-0.038,0.161,-1.202,0.73,0.747,0.616,-0.564,-0.151,-0.534,-1.385,-0.405,-1.613,-1.834,0.496,0.489,0.776,-0.499,-0.032,0.476,-0.429,-2.093,2.189,1.19,1.207,0.045,-0.842,0.043,0.253,-1.403,-0.505,0.533,1.483,0.587,-0.423,-1.301,2.016,0.111,0.757,0.024,-1.347,2.165,0.663,1.217,-0.793,-0.035,1.361,-0.359,-0.726,-1.133,-1.364,0.823
sample29,-0.066,-1.808,1.519,1.273,1.15,-1.856,0.099,1.293,-1.042,-0.807,-0.245,-2.027,0.211,0.987,0.66,1.492,0.09,-0.034,-0.193,-0.705,-1.08,-0.748,-0.09,-0.546,0.101,0.073,0.634,-0.522,-2.079,-0.97,1.909,0.748,-0.414,-0.21,-0.091,-0.475,0.192,0.684,1.218,-0.366,-0.294,-0.334,0.027,1.062,-0.758,2.207,0.555,1.111,-0.903,-0.375,-0.525,0.047,-2.038,0.5,-1.682,0.382,1.028,-0.048,-0.159,-0.154,-0.204,0.283,0.933,0.676,1.536,0.132,-0.469,-0.42,-1.187,-0.332,-0.532,1.849,0.591,1.867,-1.835
sample30,0.376,1.105,0.403,-0.379,0.253,0.186,0.218,0.353,1.035,0.317,0.382,0.114,0.555,-0.605,0.682,-0.211,0.963,-0.472,0.062,-0.057,-0.892,1.164,0.493,0.159,1.348,-0.205,0.102,1.223,2.556,0.209,1.737,0.299,-0.67,0.628,1.357,0.321,0.59,-0.954,-2.141,0.351,-1.327,0.011,-0.585,0.202,0.899,-1.643,-0.134,-0.14,1.341,0.064,-0.818,-0.583,1.785,-0.888,0.041,0.258,-1.148,-0.821,-1.973,-0.911,0.647,0.207,-1.889,1.423,-1.325,-0.951,1.594,0.461,-0.076,1.487,-0.074,0.346,-0.565,-0.12,-0.07
sample31,1.096,-0.624,-0.199,-2.164,-1.708,0.688,-0.394,-0.353,0.595,-0.34,0.085,-0.292,-2.02,0.593,1.459,1.153,0.039,0.238,0.358,1.472,1.158,-0.374,-0.167,-0.237,-0.614,-0.657,-0.179,-2.448,0.31,-0.518,-1.275,-0.259,-0.821,1.118,-1.176,-0.013,0.26,-0.91,-1.305,0.292,-0.479,-1.013,-1.51,0.524,1.406,-0.6,0.444,1.005,0.916,-0.646,0.458,0.613,2.447,0.161,0.988,0.77,0.61,-0.996,0.267,1.46,-0.371,0.23,-0.766,0.269,0.347,0.688,-0.376,-0.405,-0.54,0.276,0.185,2.203,-0.602,0.682,-0.518
sample32,-0.445,1.06,0.422,0.529,-1.288,2.531,2.033,-0.677,-1.285,-0.683,0.246,-0.888,0.283,-0.622,2.688,-0.21,-0.428,1.959,0.335,0.022,-0.025,0.561,-0.404,0.124,-0.517,-1.293,-0.3,0.175,1.555,0.229,-0.322,0.133,0.586,-2.17,-0.395,-2.078,-1.682,-0.703,-0.117,0.054,0.134,1.284,0.448,0.389,-0.292,1.896,1.274,-0.544,-0.539,0.774,0.99,-0.284,1.115,-1.123,-0.125,1.013,-0.524,0.174,0.019,-0.218,-1.78,-0.279,0.208,0.233,0.777,0.948,-0.299,-0.168,1.679,0.908,0.074,-0.154,1.086,1.092,-0.025
sample33,0.503,0.098,0.026,1.874,-1.178,0.801,-0.961,-0.614,0.885,-1.216,-0.856,-1.049,-0.523,0.351,1.189,-0.582,0.942,-1.134,2.122,-0.399,-0.438,0.285,0.11,-0.148,-1.639,0.834,0.697,-0.387,-1.143,0.249,1.081,-1.709,-1.106,0.072,-0.809,-0.355,-0.119,0.741,0.743,0.942,0.866,-0.632,-2.362,0.288,0.42,0.417,-0.676,1.853,-1.653,0.772,0.594,0.884,1.348,0.467,0.313,-0.295,0.736,0.367,0.769,-1.129,-1.504,0.046,0.501,-1.509,-1.004,-0.352,0.274,0.303,0.959,-0.168,0.408,1.246,-0.269,2.208,-0.358
sample34,0.123,-1.84,-0.081,-0.517,-0.621,0.288,-1.068,0.223,-1.939,-0.48,1.327,0.131,0.594,-0.88,-1.271,1.355,0.996,0.841,0.0,1.146,-0.406,0.676,0.643,-0.866,1.387,0.13,0.799,-1.454,-1.153,-0.407,0.503,1.137,0.371,-0.114,0.569,-0.214,0.169,0.396,-0.661,0.404,-1.406,-0.791,0.65,-0.626,0.477,0.226,-0.187,1.482,0.471,-0.564,-0.495,0.123,-1.449,1.124,-0.067,-1.671,-0.963,1.375,0.218,2.111,0.02,0.452,1.901,2.077,-0.912,0.857,-1.029,-0.46,-1.707,0.563,-0.997,-0.766,1.869,0.86,-0.169
sample35,-1.76,0.302,-2.249,-0.891,0.643,0.781,0.138,0.787,0.179,-0.766,0.018,1.683,-0.051,0.292,0.532,-1.358,-1.006,-1.538,0.344,-0.359,-1.218,-1.244,0.703,0.802,0.394,0.015,0.48,0.001,0.334,-0.416,-1.016,-0.752,0.231,1.624,-0.863,-1.114,0.681,0.685,-0.738,-0.609,-0.624,0.28,2.959,-0.754,0.247,-0.534,0.094,0.353,0.22,-1.038,-1.029,0.852,0.203,0.122,0.496,-0.804,1.105,-0.873,-1.126,-1.051,-0.209,2.492,-0.045,0.193,1.407,-0.46,-1.483,-0.724,-0.481,-1.719,-0.381,-0.019,1.876,0.655,0.003
sample36,-0.63,-0.845,-1.905,-0.275,-2.347,-0.289,1.475,-0.521,0.269,-1.0,-1.983,0.107,-0.39,0.313,-0.02,0.449,-0.607,0.383,0.846,-0.661,-0.459,0.899,0.351,-0.344,-1.635,-0.4,1.334,-0.559,-0.304,-1.004,-0.228,-0.125,0.157,-0.761,-1.213,1.922,0.028,-0.961,-0.287,0.342,0.942,0.175,-0.439,0.38,-1.468,-1.033,1.099,0.091,-0.168,-0.728,-1.244,0.14,-0.067,1.581,-0.932,-0.096,-0.453,-0.981,1.668,1.229,0.032,-1.472,0.195,0.375,-0.706,-1.674,1.644,-1.452,0.945,-0.772,-0.501,0.874,-1.233,-0.442,-0.171
sample37,1.029,0.866,0.019,-1.325,1.055,-0.517,0.17,-1.922,-0.279,0.392,-0.454,0.494,1.165,1.446,-0.646,-1.601,-2.51,-0.425,-1.701,0.347,-2.167,0.94,-0.06,-1.682,0.154,0.446,0.432,-0.135,0.482,0.388,-0.464,-0.044,-1.413,0.619,-1.406,-0.316,-1.292,0.783,0.02,-1.164,0.112,-0.365,0.496,-0.118,-0.207,-0.392,-1.783,0.301,0.563,-1.12,0.328,0.979,0.733,1.117,0.743,-0.537,2.014,-0.04,-0.667,1.349,-0.76,0.776,-0.837,1.091,1.218,-0.486,0.527,0.67,-0.111,0.475,-0.128,-0.66,-0.994,0.262,0.518
sample38,0.805,0.473,0.677,-0.335,1.719,-0.783,0.783,-0.123,-0.24,2.052,0.573,-1.056,0.426,-0.37,1.893,-0.723,0.137,-0.439,-0.499,0.775,1.171,1.284,-0.05,-0.492,0.604,-0.314,1.602,-1.281,0.511,-1.131,-0.9,-1.494,-1.218,0.552,-0.656,-1.012,-1.163,-0.885,-0.414,0.853,0.024,-0.049,-0.12,0.69,-0.916,0.301,-1.093,-1.044,0.604,0.044,-0.205,-0.963,0.425,2.107,0.54,0.552,-0.093,1.155,-0.377,2.873,0.26,0.077,1.213,-1.059,-0.646,-0.683,-0.194,1.734,-0.89,2.431,0.973,1.564,0.251,-1.448,-1.135
sample39,1.321,-0.273,0.388,0.331,1.496,1.32,0.386,0.16,1.033,-0.978,-0.61,-1.212,-0.828,-1.413,0.901,-0.186,1.812,-0.242,0.346,-0.4,0.789,0.652,-0.252,0.389,-0.669,-0.474,-0.923,0.91,-0.862,-1.016,0.975,-0.069,-1.304,-1.073,-0.571,-1.085,-0.097,-1.184,-1.2,0.73,1.605,1.272,-0.412,0.5,-0.211,1.728,0.274,0.461,1.836,1.21,0.124,-0.981,-0.355,-1.36,1.64,-0.157,0.686,0.201,-0.706,0.285,0.376,-0.035,-0.021,0.339,-0.915,-0.106,-0.438,-0.732,0.143,-2.115,-1.332,-0.199,1.493,0.555,-0.733
